评论ID,评论内容,评论图片,点赞数,评论时间,用户昵称,用户主页链接,用户抖音号,用户签名,回复总数,ip归属
7521016314639565568,这句话没毛病[看],"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/1395eedf21e743ca87a1231bd410a984~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=yqxE3HBelFkr%2FWKT35ePYwErm1Q%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/1395eedf21e743ca87a1231bd410a984~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=vQKkL3p%2FSbaLNbWcEAJ%2B6onLXPs%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/1395eedf21e743ca87a1231bd410a984~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=YdLxBPLbhDeU4MlUs%2FDWR%2F1GShY%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/1395eedf21e743ca87a1231bd410a984~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1751288400&x-signature=Ego9o4GClGMrMpJ1viw1Fv3kqnE%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11']",13,2025-06-28 23:04:35,锦鲤,https://www.douyin.com/user/MS4wLjABAAAAha2ktk9nWkD5IDVxBWYKZNZ8P_lLHPYwrtdKxNjMoOI,,未知,3,河南
7521310654725587770,点开刷到的时候，领导在我旁边[微笑][微笑][微笑],,60,2025-06-29 18:06:43,🍀🍀🍀🌸,https://www.douyin.com/user/MS4wLjABAAAAyng3s5vjCJW8h_rCu_JauW9aHWLa6U1cfvQQwGDSEf0,47461665279,未知,5,天津
7520994016299041594,怎么？都问我吗？,"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/80e9f668dc944998a670545c4b748efa~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=s25QHQ1E85DrAPPQn%2Bn%2FkEY2Vt8%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/80e9f668dc944998a670545c4b748efa~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=QHYOAg7FQLGk7%2Fk6q15rSUr2xbw%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/80e9f668dc944998a670545c4b748efa~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=lvKys5mRxTNBWJ2F%2Bi3Db4uWt9s%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/80e9f668dc944998a670545c4b748efa~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1751288400&x-signature=Bx2aEuMCAp03%2BlnBDk%2BHsJWQlC8%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11']",6,2025-06-28 21:38:00,不会用快捷键,https://www.douyin.com/user/MS4wLjABAAAA--rf0G9LzrmazZv4pw-KQJibBTg2zWE-KOgaqM9V0HM,,未知,3,河北
7520942137325732671,我爸让我光中耀祖，可是他什么都不会做，就嘴上说，看着我做[捂脸][捂脸][捂脸],,76,2025-06-28 18:16:43,怪咖Sir,https://www.douyin.com/user/MS4wLjABAAAA-n_VSpe-BBWHHpJ0PxsF52ITEcTqz9OUeuIl5WI2dlc,wujianxiao1224,未知,6,云南
7521349775027962681,我刚上高一我妈就告诉我语数英三科原始分怎么也得考四百分吧[他急了],,4,2025-06-29 20:38:30,SIUFATBB,https://www.douyin.com/user/MS4wLjABAAAAGJcOZZJpuHViA0rCDSECQgAYI5b0n6fB8Ae90pKtZnU,Kai_2.,未知,1,广东
7521182079917998908,,"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/601caae558674d2caa0304ad085be409~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=4%2F4tPB3wZMjIccm2s323det%2F75k%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/601caae558674d2caa0304ad085be409~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=7qd7Nwe58TlQozCmKri7IZgX%2FAk%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/601caae558674d2caa0304ad085be409~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=GJfwx3ffHWslxhoHjmAtHvWxUpA%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/601caae558674d2caa0304ad085be409~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1751288400&x-signature=iexsZVUzy7IWwc%2FGxUUDljWj5Oo%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11']",89,2025-06-29 09:47:48,山椒脆,https://www.douyin.com/user/MS4wLjABAAAAMkNMsa6HrlfXmDKyn3ZU_jjOHx3hQ7icAgXdiqSvCgZnLhP0mLY1xvk61E1c3OMy,dy7y0agmmnk5,未知,2,江苏
7520932934980535099,任何一个能够成事的人，都有一个共同的优点，他不会去指挥一件他根本不懂的事,,249,2025-06-28 17:40:58,牢真,https://www.douyin.com/user/MS4wLjABAAAARA-JstJfkpGd53wrmwAEyTW5hfQKH3WYjwFUuo801OLTIpuV1a_i0Tt6UmAaA7go,95463186816,未知,7,四川
7521168169802892073,我在看这个视频的时候，她就在我旁边[微笑],,4,2025-06-29 08:53:58,段老师  （ •᷄ࡇ•᷅）,https://www.douyin.com/user/MS4wLjABAAAAR1DNRN9FqBffxGntyXWE4GvZt9T_cbpwjepbVOviBOs,,未知,1,江苏
7520935593078702908,大多数领导比九头虫还夸张[看],"['https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/41e621ba383445f3827f72b956b5a46d~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=pybh3Ac62km%2F9shrUdgZqH8HTjs%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p26-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/41e621ba383445f3827f72b956b5a46d~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=ZwlJSocF68R%2BxFyFeINRVN2oKrw%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p11-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/41e621ba383445f3827f72b956b5a46d~tplv-p14lwwcsbr-7.image?lk3s=7b078dd2&x-expires=1751288400&x-signature=RCQxcm1qc1hJU0GgR%2BL4FoPM1z0%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11', 'https://p3-sign.douyinpic.com/tos-cn-i-p14lwwcsbr/41e621ba383445f3827f72b956b5a46d~tplv-p14lwwcsbr-7.jpeg?lk3s=7b078dd2&x-expires=1751288400&x-signature=NBpUMxOakqmmTPIt2faiGdBb9RI%3D&from=2064092626&se=false&sc=image&biz_tag=aweme_comment&l=20250630153040EDD57EAEB70C7EBAAC11']",4540,2025-06-28 17:51:18,李鑒焵,https://www.douyin.com/user/MS4wLjABAAAA6aQTgFePVkHTMV9GBap9j2j0a8vZ0fvyYkNOgUcbsmw,wywdcy,未知,40,四川
7521025647197324083,这个世界上，总会有一群“老”人。他们四处兜售着社会的经验，把他人的理想当做幻想，把他人的热情当做轻狂，把他人的坚持当做桀骜。他们常在教训后辈中，寻找自己的存在感和优越感,,275,2025-06-28 23:40:46,蘇蘇,https://www.douyin.com/user/MS4wLjABAAAAdNlHfNf0ToahC84krM_1s_GyH7wSzjWibL4zicVnzYo,5464849v,未知,5,山西
7521628651063657273,@诺（转战金铲铲版） @lk @春与秋其代序 @Eric-GnaW @Olerrr（恩师xmy版） @梨花哪有汉堡香 @u1u1 @小狗也哭泣 @她说名字取随便 @南瓜宝宝 @Joanna @o_Oii @如也 @ixniJsjxksna @鸭血粉丝我爱吃 @豆腐脑 @莉莉椿 @10. 我不说是谁了叭 开头,,2,2025-06-30 14:40:43,鋙銅,https://www.douyin.com/user/MS4wLjABAAAAd5lOEwa0zGRTwiVn5HkZz5FshH9g7Cen9lIt4EdrDWf369EJGUADAmNLNpeLCYlA,duoduo611494,未知,5,江苏
7521610016055886651,拿破仑酥是拿破仑发明的么，还挺好吃[看],,0,2025-06-30 13:28:24,啦啦啦（鼠鼠高手）,https://www.douyin.com/user/MS4wLjABAAAArMCtakE-DSfaCmS_Aq80TDr0qqhNekLd50L5IFhyLqG7M2DcOWF3Pr0dK9IPPv7i,wuhuzbh,未知,0,陕西
7521609638752994098,我是汽修工，所以这种人太常见了[发怒],,0,2025-06-30 13:26:58,卤肉,https://www.douyin.com/user/MS4wLjABAAAAfsE5hrBpv0DQg-1EgzGrKtMDPgOfXt65Wtu2R-m6834,,未知,0,辽宁
7521609585549296419,@ali 哈哈哈哈开局绷不住了,,0,2025-06-30 13:26:50,s1,https://www.douyin.com/user/MS4wLjABAAAAFudm8txZGtqxMiXVVBn9fy2mw0atFTcI1pyLonBB9w46XFDIF6nQtJEP6uQ5cbrk,95264467163,未知,1,IP未知
7521595442887557928,没有，一般专业性强的领域，领导更专业。,,3,2025-06-30 12:31:51,朝饮坠露 夕餐落英,https://www.douyin.com/user/MS4wLjABAAAAanIxJNnnNSrJRYCe7Mvs9q9nOrEQO5xg0LypXnrF-1ccMVDZxrgsOi8meexzn_QG,,未知,1,福建
7521590158253294395,我爸：医生自己生病一定医术不好[捂脸][捂脸][捂脸],,0,2025-06-30 12:11:19,墨明棋妙,https://www.douyin.com/user/MS4wLjABAAAAZD_8J6iFlxHLdQzVhLgN-nde4nyE__z6Uq6V5W3oM4zl8qJ5k0xlq_veqtfClHX3,dy51m2czsp7o,未知,0,山东
7521588439817519899,这不是中国兵法吗,,0,2025-06-30 12:04:42,苏宝宝,https://www.douyin.com/user/MS4wLjABAAAA1rMjrYQkKP1wMuvs_uJe02KANjjYvZzEXEo2F8Bosxzf5OY0OFzyiLQOBJK7we6W,31004556481,未知,0,湖北
7521583846262620971,已经准备离职了,,0,2025-06-30 11:46:55,多骄傲,https://www.douyin.com/user/MS4wLjABAAAA9VVxEUq-RPT-iBLVHlewlTSrSrpkaokliIColEMh5ms,,未知,0,天津
7521581057201914660,微操大师,,0,2025-06-30 11:36:09,匣中的魑魅魍魉,https://www.douyin.com/user/MS4wLjABAAAA3XuWSefujSG50Tl21RjyPFaf94WHIuP7nhggv1vwv7U,,未知,0,江苏
7521580216264983353,天天问我，也不给我抄两个菜,,1,2025-06-30 11:32:46,数字世界,https://www.douyin.com/user/MS4wLjABAAAAhP8hFEbLuS0n7jtJpUUyAvNzHc58VjQn9xnp-01oILjCcvGnKo16uWEbBJg43ox1,70143272267,未知,0,湖北
7521573907884425993,他打你，肯定是你也有问题，他怎么不打我呀？,,0,2025-06-30 11:08:18,南海十三郎,https://www.douyin.com/user/MS4wLjABAAAA6RAEImgbHY1xVwv-vZ5SpfquWK7VpPksp2WxPkWxIYQ,,未知,0,山东
7521573908333921081,我老板吗这不是[捂脸],,0,2025-06-30 11:08:18,倒霉熊,https://www.douyin.com/user/MS4wLjABAAAAjPA7f99AXlo8iE3N_ilmsG9Z5Z4bIqECs6YuquMf5gbPF4eyIjR-vaUP35RDBp6h,64014210029,未知,0,新疆
7521564004381328128,[赞][赞][赞],,0,2025-06-30 10:29:54,孤独的野猫,https://www.douyin.com/user/MS4wLjABAAAAeslcPHhmmiD-YClBos9t0hOMrgtzG46guaaVwm65Q5sAGPQg9plf2cXXL6Tp5J0b,44202969365,未知,0,江苏
7521560694497887010,招商信诺人寿北分有个叫李婷，40+的离异大姐，整天幻想的小弟弟，工作上也是完全不懂。,,0,2025-06-30 10:17:10,木石,https://www.douyin.com/user/MS4wLjABAAAAZvvkYotToxWTa68TBTlUWHZE1w0SC8kG6mSZJ6y1l6C0ldjtjqMRuvdY-tOylQ9S,lyan129,未知,0,北京
7521557384465662780,将军是我见过最傻*的,,0,2025-06-30 10:04:11,沐沐（七日世界）,https://www.douyin.com/user/MS4wLjABAAAACPpsWvkbsut5tYoLSh6HfGQ74NDhFdk-S_j9UJJ0qRBmoNZzeO2cqYYurZhln46A,33892890721,未知,0,福建
7521554798312604425,没遇到过就证明你自己就是[捂脸],,0,2025-06-30 09:54:11,赤峰大明白,https://www.douyin.com/user/MS4wLjABAAAABE6AOIzE1gA_drDBGEem3-SUK4JV-P8ma_VDLTGrDIgBcGaSHgbg0DNsXblYH3do,lxy19880518,未知,0,内蒙古
7521553587546424121,[赞],,0,2025-06-30 09:49:26,zhangyun1821380,https://www.douyin.com/user/MS4wLjABAAAApvBCqgsbH6suhGU3ziINtlyZcrks5tjBSTtYVF-0iuQ,zhangyun1821,未知,0,云南
7521547395173155643,说外国人不会打仗，我并不意外[捂脸],,1,2025-06-30 09:25:25,轶楠,https://www.douyin.com/user/MS4wLjABAAAAF4TxQ8cTcZ3EmnSu2Rb8mF_GwOPsbU7vaINbiuv8KXM,dy71jrjl6umj,未知,0,辽宁
7521546923305861888,多了去了[捂脸]尤其老板亲戚,,1,2025-06-30 09:23:43,雨魇魔,https://www.douyin.com/user/MS4wLjABAAAATIQkxcu65ujlEMbnCk2-6CKnuk3ic4kFSgiWShU9Fyo,,未知,0,四川
7521546263545135932,每次跟傻逼争辩，把答案甩她脸上，然后被气得要死。[我想静静],,0,2025-06-30 09:21:00,喜默.唐,https://www.douyin.com/user/MS4wLjABAAAAI746MYrCynzyksYSDNhWoE3CB5ZVOit59aOhOZJicik,wxlax,未知,0,上海
7521170524669494066,高一的时候我爸问我高考能不能考700分[憨笑][微笑][微笑][微笑][微笑],,136,2025-06-29 09:03:00,量子波豆,https://www.douyin.com/user/MS4wLjABAAAAnUQT903Fat5aGyiyQWgXRnaALd08crD_greECnQrjRE,38376903935,未知,9,河北
7521437036897895219,北京有个当官的领导，去体验跑外卖，跟着师傅学了半天，然后他就自己去跑了，说很简单，然后跑到晚上10点多才下班，总共跑了52块，超时取消单子那些一共扣了20多块，一下午算下来收入20多，他直接奔溃了，导航直接让他穿墙过去，还有的商家店铺他找不到，在咔咔角角，七拐八拐的地方，满头大汗他，他直接叫摄影别录了，这太难了，回去之后他约谈了外卖的几个管理层谈话,,4,2025-06-30 02:17:18,L🍀,https://www.douyin.com/user/MS4wLjABAAAAp8GDhSZbAYnCOFvE9T0PFLGpKmIzOJUGuSMVIwysBOPUIBZXoOp61uNL0afLCrip,95279527daodao,未知,1,四川
7521269594029769535,7年前老板甩100万让我们项目组在一个月内做一个跟抖音同流量的APP[泣不成声][泣不成声][泣不成声],,75,2025-06-29 15:27:27,云逸涵,https://www.douyin.com/user/MS4wLjABAAAA2jy6mRZmBKi8D_BYTnZcTzYCa06DLISl4FDuNlf-04M,,未知,6,广东
7520934886745277242,领导让我自己一个人做一个监测平台，包括软件及硬件系统，原因是想着省一个月几百的费用,,65,2025-06-28 17:48:33,墨,https://www.douyin.com/user/MS4wLjABAAAAQTKrget_LNH2lJxqIQAIQOoM7-XP73uecvv9N_CaZrg,mo70547,未知,3,福建
7521227911723500330,可不，我们一个同事儿子理科位次4999 领导让他儿子报厦门大学[捂脸],,23,2025-06-29 12:45:39,海隐之巅,https://www.douyin.com/user/MS4wLjABAAAAhhtZIjgIWVAAGQ5DbSz50DxpEi6mY02tzJBi9GDBXn4,65163238808,未知,3,甘肃
7521249883149714203,"今年年初公司要招人,他找的那个岗位处理是非常难找的,加上今天又特别特殊,这个岗位上的师傅 又被隔壁的一个城市大量的吸收走了,导致非常难找,后来我是通用了我很多关系,很多劲,连哄带骗才招到一个 ,过来面试的时候。那个经理居然给人拒了 理由是感觉人太年轻,[泪奔]我跟他说今年不好招人，怎么还把人给拒了,他跟我说我不懂,说今年打贸易战很多人出来找工作很好找的,后来一直到现在都没招到人,后来一直求着我在用关西找一个[笑哭]说给我奖金什么",,1,2025-06-29 14:10:57,红衫(路亚),https://www.douyin.com/user/MS4wLjABAAAA0WPNJAdfsTWOwVF-jCEfjMQXDuRCsPx-BPwaWN-5o7Y,CCE80022,未知,0,江苏
7521026904193139491,县政府领导看了一个宣传片让我按照那个做个一样的,,47,2025-06-28 23:45:47,again,https://www.douyin.com/user/MS4wLjABAAAA9YyvzVLWAMTAweOAtQMYWkQsf3wVO1REm85OJAkwvvFasZp1FdgV4qyOro6aF-Bn,Next8763,未知,1,云南
7521008546882175784,这样。你带50人去外面溜一圈，四个小时后把他们都带回来，不能少一个人。做到这点我们再谈军事 [看],,15,2025-06-28 22:59:36,马丁,https://www.douyin.com/user/MS4wLjABAAAAa7IONIDjlt8wV1VuYzSV6jYjeJiNI5LxtTiLT1TzHohqa7QwYJ72WqWki2H_UZk6,93578314814,未知,1,重庆
